Country,year,Population,area
Afghanistan,1961,9164945.0,652230.0
Albania,1961,1685901.0,28750.0
Algeria,1961,11404859.0,2381740.0
American Samoa,1961,20478.0,200.0
Andorra,1961,14376.0,470.0
Angola,1961,5367287.0,1246700.0
Antigua & Barbuda,1961,55403.0,440.0
Argentina,1961,20953079.0,2780400.0
Armenia,1961,1934239.0,29740.0
Aruba,1961,55435.0,180.0
Australia,1961,10494911.0,7741220.0
Austria,1961,7105654.0,83870.0
Azerbaijan,1961,4030130.0,86600.0
Bahamas,1961,115108.0,13880.0
Bahrain,1961,167924.0,690.0
Bangladesh,1961,49593610.0,144000.0
Barbados,1961,231674.0,430.0
Belarus,1961,8274486.0,207600.0
Belgium,1961,9200393.0,
Belize,1961,94701.0,22970.0
Benin,1961,2466002.0,112620.0
Bermuda,1961,45834.0,50.0
Bhutan,1961,229297.0,47000.0
Bolivia,1961,3764815.0,1098580.0
Bosnia-Herzegovina,1961,3277096.0,51210.0
Botswana,1961,536576.0,581730.0
Brazil,1961,74706888.0,8514880.0
Brunei,1961,85687.0,5770.0
Bulgaria,1961,7935058.0,110990.0
Burkina Faso,1961,4894578.0,274220.0
Burundi,1961,2840375.0,27830.0
Cambodia,1961,5872247.0,181040.0
Cameroon,1961,5474509.0,475440.0
Canada,1961,18295922.0,9984670.0
Cape Verde,1961,205958.0,4030.0
Cayman Islands,1961,8026.0,260.0
Chad,1961,3061423.0,1284000.0
Channel Islands,1961,110399.0,190.0
Chile,1961,7873504.0,756090.0
China,1961,654625069.0,9599960.0
Colombia,1961,16982313.0,1141750.0
Comoros,1961,191828.0,1860.0
"Congo, Dem. Rep.",1961,15637715.0,2344860.0
"Congo, Rep.",1961,1039966.0,342000.0
Costa Rica,1961,1381920.0,51100.0
Cote d'Ivoire,1961,3602075.0,322460.0
Croatia,1961,4222502.0,56540.0
Cuba,1961,7289828.0,109890.0
Cyprus,1961,576395.0,9250.0
Denmark,1961,4613769.0,43090.0
Djibouti,1961,88499.0,23200.0
Dominica,1961,61035.0,750.0
Ecuador,1961,4676858.0,283560.0
Egypt,1961,27810001.0,1001450.0
El Salvador,1961,2843246.0,21040.0
Equatorial Guinea,1961,255100.0,28050.0
Eritrea,1961,1441297.0,117600.0
Estonia,1961,1230521.0,45230.0
Ethiopia,1961,22671131.0,1221900.0
Faeroe Islands,1961,34730.0,1390.0
Fiji,1961,407152.0,18270.0
Finland,1961,4463432.0,338150.0
France,1961,46471083.0,549190.0
French Polynesia,1961,80706.0,4000.0
Gabon,1961,504174.0,267670.0
Gambia,1961,376736.0,11300.0
Georgia,1961,4225733.0,69700.0
Germany,1961,73686490.0,356970.0
Ghana,1961,6866545.0,238540.0
Gibraltar,1961,21797.0,10.0
Greece,1961,8366020.0,131960.0
Greenland,1961,32474.0,341700.0
Grenada,1961,91260.0,340.0
Guam,1961,68073.0,540.0
Guatemala,1961,4240084.0,108890.0
Guinea,1961,3633778.0,245860.0
Guinea-Bissau,1961,623413.0,36130.0
Guyana,1961,582034.0,214970.0
Haiti,1961,3943363.0,27750.0
Honduras,1961,2069085.0,112490.0
"Hong Kong, China",1961,3227426.0,1092.0
Hungary,1961,10031496.0,93030.0
Iceland,1961,179106.0,103000.0
India,1961,458691457.0,3287260.0
Indonesia,1961,90138235.0,1904570.0
Iran,1961,22480420.0,1745150.0
Iraq,1961,7475354.0,438320.0
Ireland,1961,2816832.0,70280.0
Isle of Man,1961,48353.0,570.0
Israel,1961,2174271.0,22070.0
Italy,1961,50067464.0,301340.0
Jamaica,1961,1654461.0,10990.0
Japan,1961,93357259.0,377800.0
Jordan,1961,927850.0,88780.0
